"Without Public Finance, We Can’t Protect Nature","This week, leaders of 450 public development banks representing 10% of total global investment will gather to discuss the role public finance can play in driving sustainable development that benefits people and the planet.  The Finance in Common Summit will underscore the role nature-positive public finance can play in establishing a healthy environment, critical to...",https://blog.nationalgeographic.org/2020/11/11/without-public-finance-we-cant-protect-nature/,"11 listopada 2020 16:11:07","Mary Price"
"While Global Biodiversity Negotiations are Delayed, New Pandemic Report Underscores Need for Major Progress in Nature Conservation","Today, leaders from 190 countries were scheduled to gather in Kunming, China for final negotiations on a biodiversity treaty designed to address the world’s urgent extinction crises. Instead, these leaders are at home, battling the spread of a zoonotic disease that likely emerged from deforestation and the destruction of natural habitats.  A timely new report...",https://blog.nationalgeographic.org/2020/10/29/while-global-biodiversity-negotiations-are-delayed-new-pandemic-report-underscores-need-for-major-progress-in-nature-conservation/,"29 października 2020 15:10:43","Mary Price"
"Indigenous Peoples and Local Communities are Essential Partners in Protecting at Least 30% of the Earth by 2030","The Campaign for Nature’s goal of protecting at least 30% of our land and oceans by 2030 can only be achieved with full respect of Indigenous Peoples’ rights and with the leadership of Indigenous Peoples and Local Communities around the world. The identities, cultures, and spirituality of many Indigenous Peoples and Local Communities (IPLCs) are...",https://blog.nationalgeographic.org/2020/10/27/indigenous-peoples-and-local-communities-are-essential-partners-in-protecting-at-least-30-of-the-earth-by-2030/,"27 października 2020 20:10:21","Mary Price"
"27 European Environment Ministers commit to protecting at least 30% of the EU’s land and seas by 2030","Today, the Environment Council of the  European Union committed to protecting at least one-third of its land and seas  by 2030. The 30% protection target is a central component of the EU Biodiversity Strategy for 2030, which was formally and finally endorsed today by the European Union’s Environment Council after its May 2020 release by...",https://blog.nationalgeographic.org/2020/10/23/27-european-environment-ministers-commit-to-protecting-at-least-30-of-the-eus-land-and-seas-by-2030/,"23 października 2020 19:10:43","Mary Price"
"The National Geographic Society and Adobe Partner to Bring Creative Storytelling into the Classroom","At the National Geographic Society, we believe storytelling shines a light on our shared human experience and plays a critical role in illuminating and protecting the wonder of our world. However, to truly reflect the world in which we live, everyone — from every corner of the world — needs access to the resources and...",https://blog.nationalgeographic.org/2020/10/20/the-national-society-and-adobe-partner-to-bring-creative-storytelling-into-the-classroom/,"20 października 2020 17:10:02","Lexie de los Santos"
"National Geographic Launches COVID-19 Remote Learning Emergency Fund For Educators","Educators are among the many on the frontlines of COVID-19. During a time of immense disruption, they are adapting their teaching methods, testing new skills, and discovering new solutions to advance learning in profoundly new ways. To support these efforts, the National Geographic Society is launching a fund for K-12 educators who are designing instructional...",https://blog.nationalgeographic.org/2020/10/06/national-geographic-launches-covid-19-remote-learning-emergency-fund-for-educators/,"6 października 2020 15:10:11","Lexie de los Santos"
"Announcing the National Geographic Society’s 2020 Class of Emerging Explorers","At the National Geographic Society, we aim to illuminate and protect the wonder of our world. To achieve this mission, we invest in and elevate bold individuals with transformative ideas. These individuals help shine a light on our shared human experiences, empower the next generation of changemakers, and demonstrate the power of science and exploration...",https://blog.nationalgeographic.org/2020/09/28/announcing-the-national-geographic-societys-2020-class-of-emerging-explorers/,"28 września 2020 16:09:55","Chelsey Perry"
"Top Leaders Endorse the Goal to Protect   30% of the Planet by 2030 ","PM Johnson, UN Secretary-General Guterres, EVP Timmermans, Canadian Minister Wilkinson, Christiana Figueres, and HRH Prince Charles all announce support for the target NEW YORK, NY. September 28, 2020: Today, key world leaders announced their support for the science based target to protect 30% of the planet by 2030.  These new endorsements come days before a...",https://blog.nationalgeographic.org/2020/09/28/top-leaders-endorse-the-goal-to-protect-30-of-the-planet-by-2030/,"28 września 2020 14:09:43","Mary Price"
"Update from the National Geographic Society on the 2020-2021 GeoBee","Washington, D.C.—Like other organizations around the world, the National Geographic Society is continuing to monitor the latest developments in the COVID-19 pandemic. Below is an update about the National Geographic GeoBee from Chief Education Officer Vicki Phillips: Dear GeoBee Community,  The COVID-19 pandemic has changed the world we live in. And it’s changed education. We...",https://blog.nationalgeographic.org/2020/09/24/update-from-the-national-geographic-society-on-the-2020-2021-geobee/,"24 września 2020 10:09:38","Lexie de los Santos"
"Meet the 2020 National Geographic Award Recipients","For over 130 years, the National Geographic Society has recognized, invested in and elevated the work of scientists, explorers, educators and storytellers from around the world.  The National Geographic Awards is one of the Society’s hallmark events. Every year we honor some of the world’s most innovative and inspiring trailblazers who have made astounding contributions...",https://blog.nationalgeographic.org/2020/09/22/meet-the-2020-national-geographic-award-recipients/,"22 września 2020 16:09:09","Chelsey Perry"
